{X=278,Y=144,Width=10,Height=13}
{X=294,Y=151,Width=6,Height=9}
{X=287,Y=166,Width=3,Height=4}
{X=246,Y=220,Width=2,Height=1}
{X=248,Y=221,Width=4,Height=3}
{X=282,Y=222,Width=5,Height=4}
{X=241,Y=166,Width=11,Height=11}
{X=234,Y=170,Width=1,Height=2}
{X=252,Y=117,Width=1,Height=2}
{X=225,Y=163,Width=2,Height=3}
{X=223,Y=168,Width=4,Height=3}
{X=197,Y=165,Width=2,Height=1}
{X=182,Y=143,Width=5,Height=8}
{X=206,Y=166,Width=4,Height=2}
{X=210,Y=161,Width=3,Height=5}
{X=194,Y=189,Width=4,Height=4}
{X=153,Y=151,Width=2,Height=2}
{X=137,Y=144,Width=14,Height=11}
{X=122,Y=139,Width=7,Height=5}
{X=120,Y=183,Width=8,Height=3}
{X=173,Y=102,Width=3,Height=1}
{X=150,Y=137,Width=3,Height=4}
{X=103,Y=127,Width=6,Height=3}
{X=86,Y=133,Width=21,Height=20}
{X=59,Y=127,Width=4,Height=8}
{X=58,Y=72,Width=2,Height=3}
{X=0,Y=131,Width=3,Height=6}
{X=23,Y=157,Width=6,Height=4}
{X=4,Y=113,Width=2,Height=2}
{X=39,Y=100,Width=14,Height=16}
{X=40,Y=201,Width=13,Height=7}
{X=47,Y=159,Width=2,Height=4}
{X=68,Y=128,Width=11,Height=11}
{X=74,Y=109,Width=2,Height=2}
{X=78,Y=110,Width=5,Height=10}
{X=71,Y=114,Width=2,Height=4}
{X=93,Y=118,Width=3,Height=1}
{X=54,Y=150,Width=2,Height=5}
{X=157,Y=59,Width=1,Height=3}
{X=36,Y=27,Width=3,Height=2}
{X=198,Y=122,Width=11,Height=5}
